0,Run,Distance,Length,Counts
116,116,1.2944854481248553,3.4906956126906645,8
117,117,2.961497801920551,3.720975393878845,23
118,118,1.770313989582784,3.2946403086709397,3
119,119,1.8110103693766624,2.8455347240182505,11
120,120,2.043473089668982,3.0701629232820373,6
121,121,2.6781622892117385,3.5486726227088976,22
122,122,2.4603075484564365,3.7653226414152483,7
123,123,1.8296086883314695,4.119503602354269,8
124,124,2.8530982595331986,127.22889910865581,21
125,125,2.934907460445975,3.4704805952516824,7
126,126,2.26477545584094,3.8500878155181417,11
127,127,1.9617455765437146,3.392053346066381,4
128,128,2.695110241470241,3.975053862040486,15
129,129,2.148249966845032,3.339785834796233,9
130,130,2.3586610531167893,3.6622833909249115,17
131,131,1.020120158904809,150.80920940866736,24
132,132,1.693092826427687,3.449551729588875,11
133,133,2.550259600186435,3.273784456727383,3
134,134,1.6819756805449393,3.8570913090000203,14
135,135,3.380134509081352,3.8328139291870973,12
136,136,2.1553042337038395,121.25539077645288,20
137,137,2.1796016429032723,3.6650621852412697,19
138,138,3.119608978594756,3.5599661019486835,19
139,139,1.7211758912867559,3.307944842559821,10
140,140,2.317857150227853,3.9495971110510504,9
141,141,2.7221454104587797,3.8945684587520977,9
142,142,2.5340797096154164,3.8340662059096635,12
143,143,3.4038253381601415,148.12363462454547,7
144,144,2.4416338146313454,3.701461941214002,10
145,145,2.912543625104258,3.779930957088005,12
146,146,2.246017406542077,4.017111147220964,13
147,147,2.3753318445710883,145.64103780186372,19
148,148,2.7346969808620947,3.6646302349517828,14
149,149,2.0486061282747836,3.1703064504943623,5
150,150,1.97492283768498,3.6557262135420077,17
151,151,1.5966615926473626,2.3864012652104662,11
152,152,2.4339706584182688,3.672835503588238,6
153,153,2.771224586395641,3.611863283470272,16
154,154,2.2153624052433485,3.3185050011355144,22
155,155,1.5838241649510725,3.8009984150411014,11
156,156,2.248879873383413,3.0273145820280174,1
157,157,1.2947504173100628,1.5407595674021881,0
158,158,2.6077986112087803,3.2260502155671653,8
159,159,1.0927787312533166,126.65975015992528,15
160,160,2.7521555261049473,3.1606396415246514,8
161,161,1.66853256897663,2.081527240374139,16
162,162,2.276825648253506,3.3345554009969973,9
163,163,2.9355251757108527,3.311546667956884,9
164,164,2.209951916305795,3.032514332109698,15
165,165,3.2224969889947785,3.9778730442951247,11
166,166,2.5090936451952954,3.5116116859286657,15
167,167,2.5865567417801234,3.497991020401584,11
168,168,1.5174628019803622,3.558653135857401,10
169,169,2.205125813692449,3.514392210898675,2
170,170,1.9298348856596508,2.612041784469176,4
171,171,2.5471532985055227,3.2825625765844997,12
172,172,3.056997159323223,3.7424791634785293,12
173,173,2.6707272060808624,3.4163162211997307,6
174,174,1.8282140329081058,3.373086181671731,15
175,175,2.2274467005377443,3.725274640347571,12
176,176,2.438912728697608,2.8617407611362173,12
177,177,2.7179877155129106,4.124130713586948,4
178,178,3.0910595234730827,148.67111237471994,17
179,179,2.6632278840757757,3.9770636705053755,21
180,180,2.8150652014480952,3.5690894579153505,15
181,181,2.4659195141571435,3.8852499984842868,11
182,182,2.2544850881387544,3.3163192309719083,10
183,183,3.352308992304409,3.8565151857266637,20
184,184,2.2542656016609666,3.640117404687709,17
185,185,2.767819495962173,3.688604439978611,17
186,186,1.9404603028892948,2.4746954019472462,2
187,187,1.9287516297796066,3.1502094098073066,5
188,188,2.0651259112677587,3.06977954827506,8
189,189,2.536529636360524,3.6153021737349853,12
190,190,2.6212691707737075,2.8529169640691636,8
191,191,2.8155159696442014,3.5037892000491655,13
192,192,2.5558944734425846,3.0561938036667233,4
193,193,1.6078618475633188,2.608998848816678,5
194,194,1.9718175489626053,3.4028119818793847,7
195,195,1.4880671781007249,2.330789513738317,4
196,196,2.652681474135387,3.853780510838465,9
197,197,5.757488005019289,203.74542012879223,14
198,198,1.0678642824267361,1.8069234131352632,6
199,199,2.171796246453636,148.56051685037244,20
200,200,2.0525085621940216,3.3763308828586793,9
201,201,3.0014184488107887,3.8242177109152826,17
202,202,2.853159849954082,3.688063882844618,6
203,203,2.518543712700348,3.9025480027397066,9
204,204,2.7806218111034817,3.823504725116484,16
205,205,2.5260986921794792,3.3665285564475464,10
206,206,1.9722619373243955,3.5904277782206426,9
207,207,2.7194770305904417,3.708272982157023,11
208,208,2.1922725399339926,2.725052290899265,9
209,209,2.6369881730120537,2.948077346323247,11
210,210,2.843571175429314,3.7318267339366353,12
211,211,1.6106161615078907,3.0270717213519416,8
212,212,1.3332249121694064,2.4638657474120347,2
213,213,2.079262635181136,3.607791703067316,12
214,214,2.6578566609960372,3.533362501725487,11
215,215,2.6827894421375267,3.2058746403332234,6
216,216,2.7352799435249775,3.452364686270148,15
217,217,2.672857788151916,3.4470997038424316,22
218,218,3.0699055134080986,3.726979858467872,20
219,219,2.3319813002599337,3.1836497441566096,7
220,220,2.7624446287955258,3.798534547541612,7
221,221,2.250034912564914,3.7894506364880147,10
222,222,2.294767723329889,3.6519185790897644,9
223,223,2.7718398569298692,3.3001706388705943,14
224,224,2.6179279938611772,3.6463497316018585,9
225,225,2.6393373563171125,3.663261250286709,10
226,226,0.9123329816146843,3.326028136968797,10
227,227,2.636401837749723,3.4157812706696853,10
228,228,2.111439243721458,3.6566639119546567,9
229,229,2.7975082491045495,3.6317269742346494,7
230,230,2.3711511685916298,3.4249696733158923,23
231,231,2.1834985505860747,3.5507670580822164,10
232,232,2.4339305760183074,3.7548853525373524,5
233,233,3.2379275826039655,3.7981618286728542,17
234,234,1.5661227950369687,2.7087713050457527,6
235,235,2.6805933706387424,3.8597703761946023,22
236,236,3.0501926646051016,3.758887222109569,10
237,237,2.114945824041467,2.7554757482101015,15
238,238,2.4613906486801564,3.417791008938193,9
239,239,2.7920725466506062,3.705000597859468,12
240,240,2.8726405031012847,3.780081331587733,11
241,241,1.9310286734851037,3.6074868208482043,15
242,242,2.8562015188415892,3.6205518498599614,10
243,243,1.449763655040778,127.89840541185382,17
244,244,2.232446489887092,2.730555589727701,7
245,245,2.5888788675552994,3.2001067840625197,8
246,246,1.8186889796676327,3.143725810801631,11
247,247,2.1600787347680135,3.034178800530455,13
248,248,1.9976022807841043,2.9203879613768606,11
249,249,3.0782967140183897,3.6432049006868747,21
250,250,2.4453604042576,3.2847182927379945,13
251,251,1.3508624940975775,1.9647392723068713,13
252,252,1.5218503776158934,2.7787042690753125,14
253,253,2.1273324630571215,3.402958651089075,9
254,254,1.7941590842943804,3.499989206901353,5
255,255,2.9097267114985654,4.034878759462679,8
256,256,3.066585222630593,3.7104263061890905,22
257,257,2.5184702432849857,3.648063015973912,13
258,258,1.9147319839694439,4.020279940840072,12
259,259,2.5532545781595535,2.763159899932987,2
260,260,3.055972461029474,3.7538064575266286,9
261,261,1.8422410033041934,3.2330839958507456,6
262,262,3.0134160661317595,3.2855938346438642,8
263,263,1.9796995156369703,3.1481569416290496,13
264,264,2.1784225576147977,3.183364215234171,21
265,265,1.7933437591560628,2.9285025235081372,2
266,266,1.5490044239946803,128.20680524792317,25
267,267,2.4427045189337235,3.711679687868918,11
268,268,2.1499649681983435,2.3828199633937506,13
269,269,2.666875750070836,3.0737459532841798,12
270,270,1.4958976062477345,2.950494297899837,9
271,271,3.0309279508000007,3.507160380494085,9
272,272,2.8813665052243675,3.7342881072560985,8
273,273,1.9649695245333971,121.68835962651433,29
274,274,1.7425375596988,2.1524343228533596,17
275,275,2.2178795194800376,2.8770982331417776,3
276,276,2.4246184039184397,3.6787292994482126,8
277,277,2.710768083576528,3.4927366384552525,28
278,278,2.4466116445044666,3.91894321478134,13
279,279,2.4309463845328483,3.587637017772865,6
280,280,1.9299792727588787,3.978110654287339,5
281,281,0.9926299685615477,4.233825519890151,20
282,282,1.8658171650012558,2.2707732327756456,10
283,283,3.0486884306476782,3.9292660890409294,15
284,284,2.7224318525994735,3.4226568346373223,14
285,285,1.742616000146379,3.5021735561878704,9
286,286,3.49848350124236,121.81598338648107,35
287,287,2.690468389539252,3.4423044173280153,14
288,288,1.9920694897473556,2.3233221952687084,8
289,289,2.8577680125178615,3.5728049482498445,16
290,290,2.474275080401861,3.7876229539457107,3
291,291,2.315474209216116,3.946854503717504,10
292,292,2.839854875682453,3.058480028020893,18
293,293,2.691555176966894,3.6837545105685927,15
294,294,2.7644352272642037,3.4717835742636294,9
295,295,2.3677169382115406,3.510738345706101,12
296,296,2.6931869700680933,3.3601696160532466,13
297,297,3.0728593124749235,3.592787076578767,20
298,298,2.935155709650435,3.62247667084651,19
299,299,2.9217210905692226,153.78365069193603,16
300,300,2.123455740479902,153.667401415175,28
301,301,2.59010212074194,3.4318722377991633,16
302,302,1.3800557771312179,1.837303095948751,4
303,303,2.6352753699780296,3.1433297410223586,12
304,304,2.6528397004177178,3.259743739670968,12
305,305,2.676490861106198,3.5036040885641215,20
306,306,3.229178329282792,3.943085037140238,18
307,307,1.5180090035753593,1.88522168003892,7
