0,Run,Distance,Length,Counts,Edep,CerCount
1,1,71.08986085330434,120.01143840893103,0,41.25853,2
2,2,73.19772632248988,120.00143092298322,2,39.144870000000004,4
3,3,60.00070365989446,120.00491137137018,0,40.29999,6
4,4,11.5740700699022,120.02531252824235,6,41.93796,72
5,5,60.0021394052499,120.00618005627604,0,39.31565,3
6,6,39.496026951538546,120.0173623726418,3,39.954029999999996,58
7,7,41.43564279429682,120.01018825544472,7,42.16553,48
8,8,100.6381448143596,120.03075519538498,0,41.571690000000004,4
9,9,9.439294802405263,120.03758259818994,6,40.9277,98
10,10,116.53213358593028,120.00874259034272,3,39.02085,10
11,11,11.014015550308804,120.01480213031088,7,40.96354,80
12,12,35.17842707524611,120.02142347994759,6,39.22745,71
13,13,33.024025708944315,120.00408647148993,1,41.77169,43
14,14,60.000913132180685,120.00164508761328,0,40.41559,4
15,15,18.672652856039313,120.02099552186515,1,42.215309999999995,75
16,16,64.04594264862834,120.00055605741078,1,38.17088,4
17,17,26.83032245505429,120.0019552060549,7,38.73565,96
18,18,91.12336711272985,120.31519589021852,1,42.83286,4
19,19,83.070127213752,120.00452838605003,0,39.83085,1
20,20,60.0039598399483,120.00955237960022,2,38.38242,6
21,21,81.66326774091512,120.01224049491094,2,39.90625,4
22,22,68.54228247105847,120.02383230295162,0,41.93723,6
23,23,16.294842153448272,120.03215711290588,4,40.00395,71
24,24,60.0006869164976,120.01205046866619,4,40.096340000000005,100
25,25,45.359278087874415,120.00169852014646,14,42.13435,109
26,26,84.47155528361841,120.0384477604651,1,41.751709999999996,6
27,27,14.52907845945223,120.02904872854845,6,41.333259999999996,81
28,28,34.09770291619847,120.036494364965,0,42.65777,26
29,29,97.25523175434012,120.0112275097195,1,41.529579999999996,3
30,30,64.648978001132,120.01049945611649,2,41.26449,5
31,31,25.710938518799022,120.00809805056227,4,43.23984,150
32,32,36.95921224094338,120.01303830470701,2,40.11809,138
33,33,60.31914906551327,120.01780838884297,1,40.06147,3
34,34,60.00256597100012,120.05639776276163,0,40.10302,3
35,35,12.621962724477887,120.04693196241548,6,40.1249,75
36,36,101.58838351851566,120.02246929756613,0,40.2521,4
37,37,60.000403808530336,120.01787031388835,1,40.69713,5
38,38,83.24076848505617,120.01135248406158,1,41.120709999999995,6
39,39,66.44731516116005,120.01522035295086,0,40.98884,3
40,40,28.52565927505956,120.00612911882537,15,40.231320000000004,113
41,41,68.8637982514963,120.05988383316372,2,42.39499,8
42,42,63.37860939872939,120.01912505556504,5,40.91707,98
43,43,92.17014751621994,120.0289315155462,3,41.46363,4
44,44,60.00553555930095,120.02090261249671,2,40.15906,4
45,45,115.69705038902926,120.00241627979473,0,40.15419,5
46,46,60.00200929635909,120.01256767842247,2,41.57669,4
47,47,105.13819921496248,120.02741679426836,1,40.164629999999995,3
48,48,60.007663108582975,120.04509771699942,0,40.419270000000004,2
49,49,78.17722979446019,120.0170161469214,0,39.562709999999996,5
50,50,32.28192387772338,120.01169671606858,6,44.876490000000004,160
51,51,57.155369731171724,120.01860480353348,16,40.189170000000004,47
52,52,119.00684036081203,120.00395072955281,0,40.23993,7
53,53,60.00422350314483,120.02336777873413,0,39.50175,1
54,54,63.33055400274311,120.00352831427931,3,41.0459,7
55,55,23.198420589312562,120.00626645647485,5,44.19166,132
56,56,12.579366516124814,120.06425028979751,10,44.09413,279
57,57,66.08817711659762,120.01618492703645,2,39.018809999999995,7
58,58,11.69675096084426,120.02277556310808,22,42.12645,153
59,59,6.394424319372146,120.03094071010783,5,40.49048,155
60,60,65.0338398899261,120.02252125486487,4,38.96162,93
61,61,11.913373769497943,120.02885601108207,7,41.09169,64
62,62,7.66839605106854,120.01533493247015,8,42.245059999999995,181
63,63,63.41848089833624,120.01786972277684,2,40.87233,3
64,64,83.53734043200453,120.02334451003438,2,39.99061,7
65,65,76.38515811032207,120.06783348662387,0,39.768370000000004,5
66,66,47.9331780533258,120.00831165356699,3,40.13701,46
67,67,107.4750160971484,120.05333988552101,1,40.52442,7
68,68,26.5218283489693,120.01345594094659,15,42.6874,124
69,69,60.001563649286815,120.00511824305696,2,43.17582,5
70,70,79.4010312642381,120.00218144429667,0,40.345859999999995,8
71,71,63.392031401058446,120.00834831210744,4,42.08028,26
72,72,55.07030185254968,120.00501332215555,7,40.82925,82
73,73,76.58716367218973,120.04630690493022,1,40.90232,45
74,74,61.07428173658839,120.01103577213544,0,41.25065,7
75,75,98.83747159295427,120.00995356865492,0,41.211040000000004,1
76,76,78.05504398988293,120.00304143928415,0,41.13903,4
77,77,42.4562684880994,120.01106736131572,2,39.79801,90
78,78,91.64415154887588,120.00146609400532,2,40.64502,5
79,79,105.07267815402922,120.02784460124444,1,41.137370000000004,4
80,80,118.2343607921763,120.00930600966618,1,40.65645,5
81,81,10.64978462229633,120.05827925822749,6,40.65511,159
82,82,116.24304163365619,120.01537676304565,1,40.0221,5
83,83,73.54476544402337,120.01390492546766,0,40.172129999999996,7
84,84,50.73992554793316,120.05779138642988,7,41.77941,86
85,85,94.14338839721589,120.01425269576627,1,40.73438,9
86,86,37.90057506728233,120.07638993686561,2,42.76644,84
87,87,84.36422468883863,120.00640746016046,1,40.21673,1
88,88,27.08042374695147,120.00297385127615,3,40.78533,81
89,89,65.88080056415339,120.07429609782011,0,40.99389,2
90,90,94.95910176363627,120.01963554647924,2,42.02964,6
91,91,23.86475955611722,120.04229586712924,9,42.829190000000004,147
92,92,33.11379108414787,120.01955754580216,6,42.414190000000005,142
93,93,30.177310881669193,120.00544082442264,4,42.71085,45
94,94,79.89081285330832,120.00551543328137,0,40.23665,4
95,95,71.910716015237,120.01002571116595,0,40.337340000000005,2
96,96,17.076397801327605,120.00395773906439,3,38.97831,66
97,97,24.368199067679463,120.02225917030208,8,40.33688,150
98,98,71.65818994735422,120.00880217938348,0,39.06361,3
99,99,53.337635627772244,120.02012775150345,18,41.89921,66
100,100,106.38740766137107,120.0058863922059,2,41.08008,4
101,101,92.96269359193802,120.01240360559345,1,41.28668,4
102,102,90.08440122047242,120.00530454633324,0,39.656859999999995,1
103,103,68.44982355733467,120.00882834634771,3,39.937979999999996,7
104,104,115.75431049634891,120.01265873775161,1,41.81876,4
105,105,25.74904233346915,120.01406082930365,2,40.53918,80
106,106,117.8202726464962,120.0208337474585,0,41.06501,2
107,107,20.930777760826768,120.01588139204028,3,42.13074,75
108,108,47.89187016717399,120.01401411508537,5,42.67066,63
109,109,72.65529675961032,120.003323940755,4,39.32431,9
110,110,67.87067334825885,120.00842994511186,1,41.16107,5
111,111,60.00397016447453,120.08471131935306,0,41.44575,1
112,112,102.23228668271166,120.00628365497633,1,42.49409,4
113,113,60.002264525990704,120.00824818862785,4,41.442040000000006,66
114,114,70.44884501557738,120.02084808475101,2,39.824220000000004,8
115,115,48.20573507158521,120.00603430602445,11,40.88069,70
116,116,86.78029788540637,120.00971901454747,3,42.81176,5
